Count	Cluster	Cmi	Cpl	Ler	Loc	Gga	Xtr
##group=1
211	CL00011	Cmi01	Cpl01	Ler01	Loc04	Gga04	Xtr01
92	CL00040	Cmi01	Cpl32	Ler01	Loc04	Gga04	Xtr01
52	CL00046	Cmi01	Cpl02	Ler03	Loc04	Gga04	Xtr01
36	CL00053	Cmi01	Cpl01	Ler01	Loc02	Gga04	Xtr01
24	CL00684	Cmi01	Cpl01		Loc04	Gga04	Xtr01
23	CL00057	Cmi01	Cpl32	Ler01	Loc02	Gga04	Xtr01
17	CL00063	Cmi01	Cpl02	Ler03	Loc02	Gga04	Xtr01
12	CL00091	Cmi01	Cpl01	LerSca	Loc04	Gga04	Xtr01
11	CL00751	Cmi01	Cpl01	Ler01		Gga04	Xtr01
9	CL00781	Cmi01		Ler01	Loc04	Gga04	Xtr01
7	CL00085	Cmi01	Cpl02	LerSca	Loc04	Gga04	Xtr01
7	CL00120	Cmi01	CplSca	Ler01	Loc04	Gga04	Xtr01
7	CL00362	Cmi01	Cpl01	LerSca60	Loc02	Gga04	Xtr01
5	CL00863	Cmi01	Cpl01	Ler01	Loc04	Gga04	
4	CL00111	CmiSca	Cpl01	Ler01	Loc04	Gga04	Xtr01
4	CL00129	Cmi01	Cpl02	Ler41	Loc04	Gga04	Xtr01
4	CL00903	Cmi01	Cpl02	Ler03		Gga04	Xtr01
3	CL00152	CmiSca	Cpl32	Ler01	Loc04	Gga04	Xtr01
3	CL00959		Cpl01	Ler01	Loc04	Gga04	Xtr01
3	CL00970	Cmi01	Cpl32	Ler01		Gga04	Xtr01
3	CL00981	Cmi01			Loc02	Gga04	Xtr01
3	CL01011		Cpl01		Loc04	Gga04	Xtr01
3	CL01016		Cpl32	Ler01	Loc04	Gga04	Xtr01
3	CL01017	Cmi01	Cpl01		Loc02	Gga04	Xtr01
2	CL00156	Cmi01	Cpl01	Ler48	Loc04	Gga04	Xtr01
2	CL00169	Cmi01	Cpl32	Ler01	Loc04	Gga04	Xtr05
2	CL00303	Cmi01	Cpl01	Ler01	Loc04	Gga04	Xtr03
2	CL00304	Cmi01	Cpl01	LerSca1325, LerSca234	LocSca42	Gga04	Xtr01
2	CL00352	Cmi01	Cpl03	LerSca199	Loc04	Gga04	Xtr01
2	CL00353	Cmi01	Cpl19	Ler01	Loc04	Gga04	Xtr01
2	CL00354	Cmi01	Cpl01	Ler01	Loc26	Gga04	Xtr01
2	CL00360	Cmi01	Cpl01	LerSca103	Loc04	Gga04	Xtr08
2	CL01053	Cmi01	Cpl32	Ler01		Gga04	
2	CL01088	Cmi01	Cpl01	Ler01		Gga04	
1	CL00267	Cmi01	Cpl02	Ler41	Loc03	Gga04	Xtr01
1	CL00351	Cmi01	Cpl32	Ler01	Loc04	Gga04	Xtr10
1	CL00356	Cmi01	Cpl01	Ler01	LocSca686	Gga04	Xtr01
1	CL00358	Cmi01	Cpl01	Ler01	Loc04	Gga04	Xtr08
1	CL00363	Cmi01	Cpl32	Ler01	Loc02	Gga04	Xtr09
1	CL01317	Cmi01		Ler01		Gga04	Xtr01
1	CL01343		Cpl02		Loc04	Gga04	Xtr01
1	CL01344		Cpl01		Loc02	Gga04	Xtr01
1	CL01378	Cmi01	Cpl32	Ler01	Loc04	Gga04	
1	CL01379	Cmi01	Cpl01	LerSca81		Gga04	Xtr01
1	CL01380	Cmi01	Cpl01, CplSca6158	LerSca121		Gga04	
1	CL01418	Cmi01	Cpl32			Gga04	Xtr01
1	CL01419		Cpl01	Ler01		Gga04	Xtr01
1	CL01519		Cpl32	Ler01	Loc04	Gga04	
1	CL01545			Ler01	Loc04	Gga04	
1	CL01557	Cmi01		Ler03	Loc20	Gga04	Xtr01
1	CL01690	Cmi01	Cpl01		Loc17	Gga04	Xtr01
1	CL01691	Cmi01	Cpl32	Ler01	Loc02	Gga04	
1	CL01693	Cmi01	CplSca38830	Ler41		Gga04	Xtr01
1	CL01810		Cpl01	Ler01	Loc06	Gga04	Xtr01
1	CL01837		Cpl32	Ler01	LocSca346	Gga04	Xtr01
1	CL01869	Cmi01	Cpl01			Gga04	Xtr01
1	CL01871	Cmi01			Loc04	Gga04	Xtr01
1	CL01995		Cpl01	Ler01	Loc04	Gga04	
1	CL02106			Ler01	Loc04	Gga04	Xtr01
##group=2
225	CL00009	Cmi01	Cpl02	Ler03	Loc02	GgaZ	Xtr01
111	CL00037	Cmi01	Cpl01	Ler01	Loc02	GgaZ	Xtr01
56	CL00048	Cmi01	Cpl02	Ler03	Loc04	GgaZ	Xtr01
26	CL00058	CmiSca	Cpl02	Ler03	Loc02	GgaZ	Xtr01
10	CL00069	Cmi01	Cpl32	Ler01	Loc04	GgaZ	Xtr01
10	CL00074	CmiSca	Cpl02	Ler03	Loc04	GgaZ	Xtr01
10	CL00078	Cmi01	Cpl32	Ler01	Loc02	GgaZ	Xtr01
9	CL00769		Cpl02	Ler03	Loc02	GgaZ	Xtr01
7	CL00821	Cmi01	Cpl02	Ler03		GgaZ	Xtr01
6	CL00133	Cmi01	CplSca	Ler03	Loc02	GgaZ	Xtr01
5	CL00866	Cmi01	Cpl02	Ler03	Loc02	GgaZ	
4	CL00121	Cmi01	Cpl01	Ler01	Loc04	GgaZ	Xtr01
4	CL00625	CmiSca1146	Cpl02	LerSca99	Loc02	GgaZ	Xtr01
4	CL00897	Cmi01			Loc02	GgaZ	Xtr01
3	CL00666	Cmi01	Cpl01			GgaZ	Xtr01
3	CL01018	Cmi01		Ler03	Loc02	GgaZ	Xtr01
2	CL00182	CmiSca	Cpl01	Ler01	Loc02	GgaZ	Xtr01
2	CL00633	Cmi01		Ler03		GgaZ	Xtr01
2	CL01063	Cmi01			Loc02	GgaZ	
2	CL01091	Cmi01			Loc04	GgaZ	Xtr01
2	CL01092			Ler03	Loc02	GgaZ	Xtr01
2	CL01101		Cpl02		Loc02	GgaZ	Xtr01
2	CL01158		Cpl01	Ler01	Loc02	GgaZ	Xtr01
2	CL01160		Cpl16	Ler03	Loc02	GgaZ	Xtr01
2	CL01163	Cmi01	Cpl02			GgaZ	Xtr01
1	CL00240	Cmi01	Cpl02	Ler03	Loc02	GgaZ	Xtr08
1	CL00367	Cmi01	Cpl02	Ler03	Loc02	GgaZ	Xtr09
1	CL00368	Cmi01	Cpl02	Ler03	Loc02	GgaZ	Xtr07
1	CL00369	Cmi01	Cpl01	Ler01	Loc11	GgaZ	XtrSca151
1	CL00370	Cmi01	Cpl01	Ler01	Loc11	GgaZ	Xtr01
1	CL00371	Cmi01	CplSca1944	Ler01	Loc02	GgaZ	Xtr01
1	CL01340	CmiSca32	Cpl02		Loc02	GgaZ	Xtr01
1	CL01359	Cmi01		Ler03	Loc02	GgaZ	
1	CL01393		Cpl02	Ler03	Loc04	GgaZ	Xtr01
1	CL01426	Cmi01	Cpl02	LerSca64	Loc02	GgaZ	
1	CL01487	Cmi01	Cpl01			GgaZ	
1	CL01535		Cpl01		Loc02	GgaZ	Xtr01
1	CL01559		Cpl01	Ler01		GgaZ	
1	CL01595		Cpl02			GgaZ	Xtr01
1	CL01689	Cmi01		LerSca1392	Loc26	GgaZ	Xtr07
1	CL01699	Cmi01	Cpl01	Ler01		GgaZ	Xtr01
1	CL01700	Cmi01		Ler01	Loc02	GgaZ	Xtr01
1	CL01812		Cpl02, CplSca51204	Ler03	Loc02	GgaZ	
1	CL01874	Cmi01			Loc19	GgaZ	Xtr01
1	CL02048		Cpl32	Ler01		GgaZ	Xtr01
1	CL02109	Cmi01				GgaZ	Xtr01
1	CL02177		Cpl01			GgaZ	Xtr01
##group=3
187	CL00017	Cmi02	Cpl04	Ler04	Loc09	Gga02	Xtr06
177	CL00022	Cmi02	Cpl05	Ler02	Loc11	Gga02	Xtr06
160	CL00024	Cmi02	Cpl04	Ler04	Loc11	Gga02	Xtr06
126	CL00032	Cmi02	Cpl05	Ler02	Loc09	Gga02	Xtr06
89	CL00044	Cmi02	Cpl29	Ler02	Loc11	Gga02	Xtr06
53	CL00049	Cmi02	Cpl29	Ler02	Loc09	Gga02	Xtr06
17	CL00699	Cmi02	Cpl04		Loc11	Gga02	Xtr06
16	CL00706	Cmi02	Cpl04		Loc09	Gga02	Xtr06
12	CL00734	Cmi02	Cpl05		Loc11	Gga02	Xtr06
11	CL00083	CmiSca	Cpl05	Ler02	Loc11	Gga02	Xtr06
11	CL00752	Cmi02	Cpl05	Ler02	Loc09		Xtr06
9	CL00770	Cmi02		Ler04	Loc09	Gga02	Xtr06
8	CL00079	Cmi02	Cpl05	Ler02	LocSca	Gga02	Xtr06
8	CL00104	Cmi02	Cpl04	LerSca	Loc09	Gga02	Xtr06
8	CL00785	Cmi02	Cpl04	Ler04	Loc09		
8	CL00793		Cpl04	Ler04	Loc09	Gga02	Xtr06
8	CL00794	Cmi02	Cpl29		Loc09	Gga02	Xtr06
8	CL00799	Cmi02	Cpl04	Ler04		Gga02	Xtr06
8	CL00802	Cmi02	Cpl04	Ler04	Loc09	Gga02	
7	CL00096	Cmi02	Cpl04	Ler43	Loc09	Gga02	Xtr06
7	CL00806	Cmi02			Loc09	Gga02	Xtr06
7	CL00811	Cmi02	Cpl05	Ler02	Loc11	Gga02	
7	CL00812	Cmi02	Cpl05	Ler02		Gga02	Xtr06
6	CL00088	Cmi02	CplSca	Ler02	Loc09	Gga02	Xtr06
6	CL00832	Cmi02		Ler02	Loc11	Gga02	Xtr06
6	CL00846	Cmi02	Cpl05	Ler02	Loc11		
6	CL00849	Cmi02	Cpl05		Loc09	Gga02	Xtr06
5	CL00657	Cmi02	Cpl04	Ler04	Loc11		
5	CL00867	Cmi02	Cpl04	Ler04	Loc11	Gga02	
4	CL00118	Cmi02	Cpl04	Ler04	LocSca	Gga02	Xtr06
4	CL00122	Cmi02	Cpl04	LerSca	Loc11	Gga02	Xtr06
4	CL00887	Cmi02	Cpl29	Ler02		Gga02	Xtr06
4	CL00899	Cmi02	Cpl29	Ler02	Loc09		
4	CL00904	Cmi02			Loc11	Gga02	Xtr06
4	CL00909	Cmi02	Cpl29	Ler02	Loc11		
4	CL00911	Cmi02	Cpl29	Ler02	Loc09		Xtr06
4	CL00922	Cmi02	Cpl05	Ler02	Loc09		
3	CL00135	Cmi02	Cpl04	Ler43	Loc11	Gga02	Xtr06
3	CL00181	CmiSca	Cpl04	Ler04	Loc11	Gga02	Xtr06
3	CL00183	Cmi02	Cpl33	Ler02	Loc09	Gga02	Xtr06
3	CL00346	CmiSca247	CplSca12523	Ler04	Loc09	Gga02	Xtr06
3	CL00951	Cmi02	Cpl05		Loc11		Xtr06
3	CL00966	Cmi02	Cpl29		Loc09		Xtr06
3	CL00972	Cmi02			Loc09		Xtr06
