Orthogroup	Cmi	Cpl	Ler	Loc	Gga	Xtr
N0.HOG0000000					Gga29, Gga16, Gga33	
N0.HOG0000001			Ler28, Ler15, Ler10, Ler36, Ler08, Ler18, Ler04, Ler03, Ler24, Ler06, Ler14, Ler07, Ler11, Ler26, Ler02, Ler09			Xtr06
N0.HOG0000002			LerSca			Xtr09
N0.HOG0000003			Ler08			Xtr09
N0.HOG0000004			Ler02, Ler13, Ler05, Ler04, Ler18, Ler17			
N0.HOG0000005			Ler05, Ler27, Ler07, Ler23, Ler29, Ler36, Ler03, Ler04, Ler21, Ler06			
N0.HOG0000006			Ler03, Ler01			Xtr02, Xtr06, Xtr05
N0.HOG0000007			Ler03, Ler30			
N0.HOG0000008			Ler01, Ler13, Ler27, Ler34, Ler04			
N0.HOG0000009			Ler28, Ler01, Ler14, Ler05, Ler11, Ler16, Ler08, Ler12, Ler30, Ler03, Ler09, Ler06			
N0.HOG0000010			Ler01, Ler14, Ler05, Ler10, Ler11, Ler07, Ler16, Ler26, Ler02, Ler40, Ler03, Ler09			Xtr03
N0.HOG0000011		Cpl33	Ler13, Ler01, Ler27, Ler35, Ler12, Ler03, Ler43, Ler18, Ler04, Ler17, Ler06			
N0.HOG0000012			Ler34, Ler01, Ler21		GgaW	
N0.HOG0000013			Ler04		Gga27, Gga02	
N0.HOG0000014			Ler15, Ler01, Ler05, Ler10, Ler08, Ler12, Ler22, Ler04, Ler03, Ler13, Ler14, Ler20, Ler07, Ler29, Ler16, Ler02, Ler32, Ler17, Ler21			
N0.HOG0000015	Cmi08		Ler01, Ler05, Ler12, Ler43, Ler24, Ler06, Ler50, Ler07, Ler11, Ler23, Ler25, Ler26, Ler32, Ler40, Ler09, Ler21, Ler28, Ler15, Ler33, Ler36, Ler08, Ler22, Ler04, Ler03, Ler13, Ler31, Ler20, Ler29, Ler16, Ler02, Ler34, Ler19			Xtr07
N0.HOG0000016	Cmi27	Cpl43	Ler40, Ler26, Ler10, Ler17	Loc04		
N0.HOG0000017	Cmi04	Cpl12	Ler02, Ler38, Ler15, Ler14			Xtr07
