Orthogroup	Cmi	Cpl	Ler	Loc	Gga	Xtr
N0.HOG0000000					Ggallus|16940.1, Ggallus|17030.1, Ggallus|16923.1, Ggallus|17005.1, Ggallus|17079.1, Ggallus|17034.1, Ggallus|17052.1, Ggallus|16931.1, Ggallus|17017.1, Ggallus|16945.1, Ggallus|17066.1, Ggallus|16990.1, Ggallus|17007.1, Ggallus|17028.1, Ggallus|17057.1, Ggallus|16957.1, Ggallus|17044.1, Ggallus|16896.1, Ggallus|16901.1, Ggallus|16898.1, Ggallus|16928.1, Ggallus|16927.1, Ggallus|16935.1, Ggallus|16900.1, Ggallus|17043.1, Ggallus|16958.1, Ggallus|17051.1, Ggallus|16953.1, Ggallus|16993.1, Ggallus|16989.1, Ggallus|17069.1, Ggallus|17029.1, Ggallus|16980.1, Ggallus|16920.1, Ggallus|17018.1, Ggallus|16936.1, Ggallus|16986.1, Ggallus|16975.1, Ggallus|16909.1, Ggallus|17016.1, Ggallus|17012.1, Ggallus|16912.1, Ggallus|16998.1, Ggallus|17085.1, Ggallus|16951.1, Ggallus|16982.1, Ggallus|16893.1, Ggallus|17021.1, Ggallus|16938.1, Ggallus|17065.1, Ggallus|16943.1, Ggallus|17077.1, Ggallus|16997.1, Ggallus|16985.1, Ggallus|16905.1, Ggallus|16913.1, Ggallus|17073.1, Ggallus|17000.1, Ggallus|16921.1, Ggallus|12563.1, Ggallus|12560.1, Ggallus|12562.1, Ggallus|12710.1, Ggallus|16999.1, Ggallus|17053.1, Ggallus|17049.1, Ggallus|16947.1, Ggallus|16926.1, Ggallus|17068.1, Ggallus|16981.1, Ggallus|17064.1, Ggallus|16924.1, Ggallus|16942.1, Ggallus|16996.1, Ggallus|16933.1, Ggallus|17020.1, Ggallus|17083.1, Ggallus|16937.1, Ggallus|16949.1, Ggallus|17008.1, Ggallus|17082.1, Ggallus|17041.1, Ggallus|17024.1, Ggallus|17006.1, Ggallus|17015.1, Ggallus|16988.1, Ggallus|17038.1, Ggallus|16959.1, Ggallus|17058.1, Ggallus|16916.1, Ggallus|17014.1, Ggallus|16978.1, Ggallus|17048.1, Ggallus|17050.1, Ggallus|16895.1, Ggallus|17074.1, Ggallus|16970.1, Ggallus|16948.1, Ggallus|16891.1, Ggallus|17022.1, Ggallus|17032.1, Ggallus|16961.1, Ggallus|17009.1, Ggallus|16984.1, Ggallus|16964.1, Ggallus|16963.1, Ggallus|17019.1, Ggallus|17055.1, Ggallus|16992.1, Ggallus|17040.1, Ggallus|16952.1, Ggallus|16903.1, Ggallus|16994.1, Ggallus|17071.1, Ggallus|16915.1, Ggallus|17011.1, Ggallus|16910.1, Ggallus|16969.1, Ggallus|17042.1, Ggallus|16941.1, Ggallus|17023.1, Ggallus|17045.1, Ggallus|16892.1, Ggallus|16934.1, Ggallus|16918.1, Ggallus|16962.1, Ggallus|16960.1, Ggallus|16966.1, Ggallus|16983.1, Ggallus|16968.1, Ggallus|17067.1, Ggallus|16946.1, Ggallus|17025.1, Ggallus|16908.1, Ggallus|16929.1, Ggallus|16906.1, Ggallus|17059.1, Ggallus|16944.1, Ggallus|17033.1, Ggallus|16954.1, Ggallus|16974.1, Ggallus|16979.1, Ggallus|17047.1, Ggallus|16939.1, Ggallus|17002.1, Ggallus|17080.1, Ggallus|17036.1, Ggallus|16973.1, Ggallus|17026.1, Ggallus|16907.1, Ggallus|17056.1, Ggallus|17039.1, Ggallus|16991.1, Ggallus|16911.1, Ggallus|16932.1, Ggallus|17046.1, Ggallus|17076.1, Ggallus|17037.1, Ggallus|17035.1, Ggallus|16976.1, Ggallus|17078.1, Ggallus|16971.1, Ggallus|16899.1, Ggallus|16955.1, Ggallus|16919.1, Ggallus|17084.1, Ggallus|16972.1, Ggallus|17027.1, Ggallus|17063.1, Ggallus|17081.1, Ggallus|16904.1, Ggallus|17070.1, Ggallus|16917.1, Ggallus|16897.1, Ggallus|16950.1, Ggallus|16902.1, Ggallus|16977.1, Ggallus|16995.1, Ggallus|17075.1, Ggallus|16987.1, Ggallus|17013.1, Ggallus|16967.1, Ggallus|17061.1, Ggallus|16894.1, Ggallus|17031.1, Ggallus|17003.1, Ggallus|17010.1, Ggallus|16529.1, Ggallus|17054.1, Ggallus|16956.1, Ggallus|17004.1, Ggallus|17062.1, Ggallus|17001.1, Ggallus|16922.1, Ggallus|16925.1, Ggallus|16965.1, Ggallus|16914.1, Ggallus|17072.1, Ggallus|16930.1, Ggallus|17060.1, Ggallus|17086.1	
N0.HOG0000001			Lerinacea|LE23154.1, Lerinacea|LE24666.1, Lerinacea|LE22091.1, Lerinacea|LE02934.1, Lerinacea|LE03226.1, Lerinacea|LE17426.1, Lerinacea|LE23634.1, Lerinacea|LE21452.1, Lerinacea|LE00155.1, Lerinacea|LE10885.1, Lerinacea|LE10144.1, Lerinacea|LE18887.1, Lerinacea|LE00337.1, Lerinacea|LE22980.1, Lerinacea|LE29556.1, Lerinacea|LE29480.1, Lerinacea|LE12673.1, Lerinacea|LE07853.1, Lerinacea|LE04862.1, Lerinacea|LE16920.1, Lerinacea|LE26989.1, Lerinacea|LE08154.1, Lerinacea|LE27640.1, Lerinacea|LE23797.1, Lerinacea|LE09237.1, Lerinacea|LE16689.1, Lerinacea|LE28213.1, Lerinacea|LE00445.1, Lerinacea|LE17501.1, Lerinacea|LE19145.1, Lerinacea|LE24187.1, Lerinacea|LE27334.1, Lerinacea|LE10683.1, Lerinacea|LE27904.1			Xentr10.7|14371.1
N0.HOG0000002			Lerinacea|LE14759.1			Xentr10.7|21693.1
N0.HOG0000003			Lerinacea|LE02906.1			Xentr10.7|22985.1
N0.HOG0000004			Lerinacea|LE27476.1, Lerinacea|LE19056.1, Lerinacea|LE24662.1, Lerinacea|LE15216.1, Lerinacea|LE00895.1, Lerinacea|LE06703.1			
N0.HOG0000005			Lerinacea|LE09569.1, Lerinacea|LE00907.1, Lerinacea|LE17238.1, Lerinacea|LE25220.1, Lerinacea|LE21681.1, Lerinacea|LE18050.1, Lerinacea|LE25843.1, Lerinacea|LE27864.1, Lerinacea|LE23690.1, Lerinacea|LE07961.1, Lerinacea|LE09975.1, Lerinacea|LE16877.1, Lerinacea|LE04883.1, Lerinacea|LE03749.1			
N0.HOG0000006			Lerinacea|LE12997.1, Lerinacea|LE17864.1			Xentr10.7|4452.1, Xentr10.7|12458.1, Xentr10.7|15237.1
N0.HOG0000007			Lerinacea|LE17113.1, Lerinacea|LE02245.1			
N0.HOG0000008			Lerinacea|LE06789.1, Lerinacea|LE06104.1, Lerinacea|LE23900.1, Lerinacea|LE07434.1, Lerinacea|LE28445.1, Lerinacea|LE18672.1, Lerinacea|LE24929.1, Lerinacea|LE14556.1			
N0.HOG0000009			Lerinacea|LE02282.1, Lerinacea|LE13406.1, Lerinacea|LE00719.1, Lerinacea|LE02258.1, Lerinacea|LE19480.1, Lerinacea|LE14440.1, Lerinacea|LE20920.1, Lerinacea|LE22350.1, Lerinacea|LE12109.1, Lerinacea|LE17048.1, Lerinacea|LE12698.1, Lerinacea|LE10083.1, Lerinacea|LE08689.1, Lerinacea|LE20579.1, Lerinacea|LE19842.1, Lerinacea|LE01893.1, Lerinacea|LE02811.1			
